,287C_Caecum,290B_Caecum,296C_Caecum,298C_Caecum,302C_Caecum,362C_Caecum,364B_Caecum,367C_Caecum,390C_Caecum,403C_Caecum,411C_Caecum,414C_Caecum,287C_Sigmoid,290B_Sigmoid,296C_Sigmoid,298C_Sigmoid,302C_Sigmoid,362C_Sigmoid,364B_Sigmoid,367C_Sigmoid,390C_Sigmoid,403C_Sigmoid,411C_Sigmoid,414C_Sigmoid,287C_Transverse,290B_Transverse,296C_Transverse,298C_Transverse,302C_Transverse,362C_Transverse,364B_Transverse,367C_Transverse,390C_Transverse,403C_Transverse,411C_Transverse,414C_Transverse
Actinobacteria_Nocardiaceae_Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104547831,0,0,0,0,0,0,0,0,0
Actinobacteria_Nocardioidaceae_Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Propionibacteriaceae_Friedmanniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Propionibacteriaceae_Propionibacterium,0,0,1.885830785,0,0,0.050994391,0.052714813,0,0,0,0,0,0,0,0,0,0.160513644,0,0,0,0,0,0,0,0,0,0.209095661,0,0,0.10303967,0,0,0,0,0,0
Actinobacteria_Tsukamurellaceae_Tsukamurella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified,0.413650465,0.421496312,6.523955148,2.314814815,0.563236047,0.152983172,0.158144439,13.45360825,1.268498943,1.527924131,4.020618557,2.243753187,0,8.41889117,0.677436165,1.570680628,2.354200107,0.159235669,0,15.75342466,1.001581444,2.056962025,3.830439224,0.711382114,0.051759834,0.983436853,1.463669629,2.549719531,1.872074883,0.154559505,0.051387461,15.26041667,1.576458224,1.592356688,4.030612245,1.683673469
Bacteroidetes_Bacteroidaceae_Bacteroides,31.48914168,37.72391992,3.211009174,36.52263374,2.355350742,1.68281489,16.07801792,9.948453608,33.82663848,17.22866175,33.86597938,24.01835798,60.47331319,34.59958932,29.54663887,35.34031414,9.951845907,7.218683652,27.26347915,12.75026344,34.94992093,15.92827004,42.28804903,18.64837398,21.06625259,37.88819876,22.32096184,46.81285059,5.772230889,4.842864503,21.12024666,12.55208333,26.43194955,16.71974522,35.81632653,28.52040816
Bacteroidetes_Bacteroidales_unclassified_Bacteroidales_unclassified,0.310237849,0,0,0,0,0.101988781,0,0,0,0,0,0,0.050352467,0,0,0,0,0.796178344,0,0,0,0,0,0,0.258799172,0,0,0,0,0.309119011,0,0,0,0,0,0
Bacteroidetes_Bacteroidetes_unclassified_Bacteroidetes_unclassified,0,0,1.070336391,0,0,0.050994391,0,0.154639175,6.501057082,0,0,0,0,0,0.104220948,0,0.160513644,0,0,0.579557429,5.271481286,0,0,0,0,0,0.261369577,0,0,0.051519835,0,0.15625,8.145034157,0,0,0
Bacteroidetes_Chitinophagaceae_Chitinophagaceae_unclassified,0,0,2.038735984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_Chitinophagaceae_Hydrotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_Cytophagaceae_Fibrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_Cytophagaceae_Spirosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_Flavobacteriaceae_Cloacibacterium,0,0,1.529051988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267522739,0,0,0,0,0,0,0,0,0,0.104547831,0,0,0.051519835,0,0,0,0,0,0
Bacteroidetes_Flavobacteriaceae_Flavobacteriaceae_unclassified,0,0,0.764525994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_Flavobacteriaceae_Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_Porphyromonadaceae_Barnesiella,1.034126163,0,0,1.131687243,0.051203277,0.050994391,0.052714813,0.773195876,0,3.846153846,0,0.152983172,0,0,5.106826472,3.507853403,1.230604601,0.106157113,0,0.842992624,0,3.217299578,0,0.101626016,0.517598344,0,0.052273915,0.713921469,0.728029121,0.051519835,0.256937307,0.625,0,3.662420382,0.051020408,0.153061224
Bacteroidetes_Porphyromonadaceae_Butyricimonas,0,0,0,1.183127572,0.102406554,0,0,0.463917526,0.264270613,2.58166491,0,0,0,0,2.866076081,0.994764398,0.321027287,0,0,0.316122234,0.36900369,2.953586498,0,0.050813008,0,0,0.365917407,1.376848547,0.2600104,0,0,0.364583333,0.262743037,1.645435244,0,0.051020408
Bacteroidetes_Porphyromonadaceae_Odoribacter,1.602895553,0,0,0.66872428,0,0.203977562,0,0.412371134,0.317124736,0.52687039,0.567010309,0,0,0,0,0.890052356,0.160513644,0.318471338,0.1017294,0.263435195,0.36900369,0.474683544,1.430030644,0,1.19047619,0,0.052273915,0.713921469,0.10400416,0.10303967,0,0.15625,0.157645822,0.318471338,0.663265306,0
Bacteroidetes_Porphyromonadaceae_Parabacteroides,3.10237849,0,1.325178389,5.144032922,1.484895033,0.407955125,0.527148129,18.55670103,3.699788584,10.11591149,16.03092784,0.305966344,8.710976838,0,31.63105784,5.706806283,3.905831996,0.955414013,1.373346897,19.8630137,4.164470216,9.17721519,5.82226762,0.355691057,2.743271222,0,26.71197073,3.875573687,3.172126885,1.442555384,0.411099692,18.95833333,2.574881766,9.872611465,8.469387755,0.510204082
Bacteroidetes_Porphyromonadaceae_Porphyromonadaceae_unclassified,0,0,0,1.697530864,0,0,0,0.360824742,0.369978858,0,0,0,0,0,0,4.712041885,0.267522739,0,0,0.421496312,0.579862941,0,0,0,0,0,0.156821746,0.560938297,0,0.051519835,0,0.364583333,0.578034682,0.053078556,0,0
Bacteroidetes_Prevotellaceae_Paraprevotella,0,0,0,0,0,0,0,0.154639175,0,0,0,0,0,0,0,0,0.107009096,0,0,0.105374078,0,0.052742616,0,0,0,0,0,0,0.15600624,0,0,0.052083333,0,0.053078556,0,0
Bacteroidetes_Prevotellaceae_Prevotella,0,0,0.0509684,0,41.57706093,1.886792453,0.052714813,0,12.42071882,0,0,0.050994391,0,0,0,0,15.1952916,39.64968153,0,0,8.592514497,0,0,0.050813008,0,0,0,0,27.1450858,14.83771252,0,0,5.990541251,0,0,0
Bacteroidetes_Prevotellaceae_Prevotellaceae_unclassified,0,0,0,0,3.277009729,0.305966344,0,0,0,0,0,0,0,0,0,0,4.012841091,2.600849257,0,0,0,0,0,0,0,0,0,0,0.2600104,0.824317362,0,0,0,0,0,0
Bacteroidetes_Rikenellaceae_Alistipes,13.65046536,0.263435195,0,0.257201646,0,0.611932687,0.052714813,2.268041237,2.695560254,3.898840885,0.773195876,0.254971953,0.151057402,1.232032854,1.719645649,0.366492147,0.802568218,2.600849257,0,4.056902002,2.266736953,4.535864979,2.145045965,0,15.73498965,1.345755694,0.679560899,0.101988781,0.728029121,0.721277692,0.205549846,3.28125,3.10036784,4.883227176,2.448979592,0.051020408
Deinococcus-Thermus_Deinococcaceae_Deinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209095661,0,0,0,0,0,0,0,0,0
Firmicutes_Acidaminococcaceae_Acidaminococcaceae_unclassified,0,0,0,0,0,0.203977562,0,0.463917526,0,0.052687039,0,0,0,0,0.260552371,0,0,1.433121019,0,0.316122234,0,0.052742616,0.051072523,0,0,0,0,0,0,0.309119011,0,0.104166667,0,0.159235669,0,0
Firmicutes_Acidaminococcaceae_Acidaminococcus,0,0,0,1.131687243,0,0,0,0,0,0,0,0,0,0,0,0.157068063,0,0,0,0,0,0,0,0,0,0,0,0.407955125,0,0,0,0,0,0,0,0
Firmicutes_Acidaminococcaceae_Phascolarctobacterium,0.620475698,1.738672287,0,0,0.665642601,0,0.052714813,0,1.321353066,0,0,0,0,1.437371663,0,0,3.370786517,0,0.1017294,0,0.73800738,0,0,0,0.82815735,2.898550725,0,0,2.340093604,0,0.256937307,0,1.261166579,0,0,0
Firmicutes_Bacillaceae_1_Anoxybacillus,0,0,6.065239551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731834814,0,0,0,0,0,0,0,0,0
Firmicutes_Bacillaceae_1_Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Carnobacteriaceae_Granulicatella,0,1.264488936,0.611620795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Clostridiaceae_1_Clostridium_sensu_stricto,0.051706308,0,0.611620795,0,0.51203277,33.04436512,4.006325778,0,0.052854123,0.052687039,0.257731959,0.050994391,0,0,0,0.157068063,0,1.27388535,0,0.210748156,0.052714813,0.052742616,2.247191011,0,0.155279503,0,0,0.050994391,0,10.25244719,2.82631038,0.15625,0.105097215,0,2.295918367,0
Firmicutes_Clostridiales_Incertae_Sedis_XI_Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Clostridiales_Incertae_Sedis_XI_Finegoldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052742616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Clostridiales_Incertae_Sedis_XI_Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Clostridiales_unclassified_Clostridiales_unclassified,1.085832472,0.52687039,0,0,0,0,0,0.154639175,0.951374207,1.633298209,0.515463918,0,0,0.46201232,0.052110474,0,0.74906367,0.265392781,0,0.474183351,1.212440696,1.951476793,1.174668029,0.050813008,0.776397516,2.01863354,0.052273915,0,0.10400416,0.257599176,0.051387461,0.208333333,2.627430373,1.220806794,1.071428571,0.051020408
Firmicutes_Enterococcaceae_Enterococcus,24.40537746,0,0.968399592,0,0,5.048444671,0,0,0,0,0,21.77460479,0.402819738,0,0,0,0,0.477707006,2.187182096,0,0,0,0,17.63211382,32.76397516,0,1.202300052,0.050994391,0,5.255023184,0,0,0,0,0.051020408,19.23469388
Firmicutes_Erysipelotrichaceae_Catenibacterium,0,0,0,0,0,0,3.584607275,0,0,1.422550053,0,0,0,0,0,0,0,0,0,0,0,1.582278481,0,0,0,0,0,0,0,0,0.051387461,0,0,1.114649682,0,0
Firmicutes_Erysipelotrichaceae_Clostridium_XVIII,0,0.842992624,0,2.983539095,0.051203277,0,5.851344228,0,0.264270613,0.052687039,0.051546392,0,0,0,0.312662845,1.67539267,0.160513644,0.159235669,0,0,0.421718503,0.26371308,0,0,0,0,0.313643492,6.119326874,0.10400416,0,0,0,0.105097215,0.053078556,0.051020408,0
Firmicutes_Erysipelotrichaceae_Coprobacillus,0.051706308,0,0,0,0,0,0,0,0,0.105374078,0,0,23.41389728,2.104722793,0,0,0,0,0,0,0,0.105485232,0,0,0.155279503,0,10.19341349,0,0,0,0,0,0.315291645,0,0,0
Firmicutes_Erysipelotrichaceae_Erysipelotrichaceae_incertae_sedis,1.96483971,14.43624868,0.101936799,0.411522634,1.689708141,0.101988781,4.902477596,1.237113402,0.052854123,0.579557429,0.927835052,0.356960734,3.172205438,4.671457906,11.09953101,0.418848168,2.568218299,0.212314225,0.1525941,0.790305585,0.052714813,0.843881857,0.255362615,0.101626016,3.260869565,5.486542443,1.202300052,1.274859765,3.432137285,0.10303967,2.261048304,0.833333333,0.052548607,0.583864119,0,0.051020408
Firmicutes_Erysipelotrichaceae_Erysipelotrichaceae_unclassified,0.051706308,2.370916754,0,0,1.331285202,0.152983172,0.052714813,0,0,0.684931507,0,1.427842937,0,1.232032854,0,0.052356021,0.909577314,0.796178344,1.271617497,0.052687039,0,0.210970464,0.102145046,0.254065041,0,0.569358178,0.470465238,0.101988781,3.224128965,0.360638846,4.008221994,0,0,0.318471338,0.102040816,0.612244898
Firmicutes_Erysipelotrichaceae_Turicibacter,0,0,0,0,0.153609831,0,2.108592514,0,0.951374207,0,0,0,0,0,0,0,0,0.743099788,0,0.105374078,1.054296257,0,0,0,0.207039337,0,0,0,0,0,0.051387461,0.052083333,0.840777719,0,0,0.051020408
Firmicutes_Firmicutes_unclassified_Firmicutes_unclassified,0.310237849,0,0,0.102880658,0,0,0,1.75257732,0,0,4.175257732,0,0,0,0.260552371,0.261780105,0,0,0,4.794520548,0,0,2.808988764,0,0,0,0,0.203977562,0,0,0,3.802083333,0,0,2.448979592,0
Firmicutes_Lachnospiraceae_Blautia,0,2.054794521,0.662589195,3.858024691,0.307219662,0,0.263574064,0.463917526,0.581395349,0.632244468,0.618556701,0.050994391,0,1.232032854,0.260552371,3.664921466,3.477795613,0.530785563,0,0,1.10701107,0.685654008,0.561797753,0,0.051759834,2.691511387,0.052273915,1.886792453,2.132085283,0.206079341,0,0.46875,0.945874934,0.955414013,0.459183673,0.153061224
Firmicutes_Lachnospiraceae_Clostridium_XlVa,0.517063082,0.368809273,0,0.154320988,0,0,0,0.824742268,0.052854123,3.530031612,0.721649485,0.050994391,2.21550856,0.154004107,0.468994268,0.052356021,0.856072766,0.053078556,0.457782299,0.52687039,0.36900369,3.32278481,1.072522983,0,0.465838509,0.517598344,0.679560899,0.356960734,0,0,0,0.260416667,0.052548607,4.087048832,0.918367347,0
Firmicutes_Lachnospiraceae_Clostridium_XlVb,0,0.684931507,0,0,0,0,0,0,0,0.368809273,0,0,0,0.205338809,0,0,0.535045479,0,0,0,0,0.843881857,0,0,0,0.362318841,0,0,0.05200208,0,0,0,0,0.371549894,0,0
Firmicutes_Lachnospiraceae_Coprococcus,0,0.316122234,0,0.411522634,0,0,0.105429626,0,0.317124736,0,0,0,0,1.026694045,0,0.104712042,0.160513644,0.159235669,0.2034588,0.105374078,0.421718503,0,0.102145046,0,0,2.536231884,0,0.050994391,0,0.10303967,0.205549846,0.052083333,0.893326327,0,0,0.051020408
Firmicutes_Lachnospiraceae_Dorea,0,0.158061117,1.529051988,0.257201646,0.358422939,0,0.632577754,0,0.687103594,0,0,0,0,0.308008214,0,0.104712042,1.230604601,0.106157113,0,0,0.843437006,0.052742616,0.051072523,0,0,0.724637681,0.156821746,0.101988781,1.612064483,0.10303967,0.462487153,0.052083333,0.840777719,0,0.051020408,0
Firmicutes_Lachnospiraceae_Lachnospiracea_incertae_sedis,0.930713547,0.632244468,0.713557594,0.051440329,0.409626216,0.152983172,3.848181339,1.134020619,2.272727273,0.895679663,1.907216495,0.356960734,0,12.98767967,2.344971339,0.104712042,1.551631889,2.016985138,0.254323499,0.790305585,2.477596205,0.738396624,1.685393258,1.37195122,0.258799172,2.691511387,0.104547831,0,0.884035361,1.081916538,2.46659815,0.78125,1.629006831,0.42462845,1.275510204,0.306122449
Firmicutes_Lachnospiraceae_Lachnospiraceae_unclassified,2.740434333,6.111696523,0,1.183127572,0.921658986,0.458949516,2.372166579,0.154639175,1.638477801,1.527924131,3.195876289,0.458949516,0.100704935,0.410677618,1.250651381,2.460732984,2.086677368,1.6985138,13.37741607,0.316122234,1.950448076,0.52742616,1.940755873,0.457317073,1.915113872,1.345755694,1.097752222,1.121876594,3.640145606,1.133436373,4.624871531,0.3125,2.154492906,0.636942675,1.785714286,0.051020408
Firmicutes_Lachnospiraceae_Robinsoniella,0,0,0,0,0,9.739928608,0,0,0,0,0,0,0,0,0,0,0,0.159235669,0,0,0,0,0,0,0,0,0,0,0,5.255023184,0,0,0,0,0,0
Firmicutes_Lachnospiraceae_Roseburia,0,0.316122234,0,0,0.204813108,0,0.896151819,0,1.374207188,0.052687039,0,0,0,0,0,0,0.267522739,0.902335456,0.0508647,0,0.843437006,0,0,0,0,0.051759834,0.261369577,0,0.10400416,0.309119011,0.154162384,0,0.052548607,0,0,0.051020408
Firmicutes_Lactobacillaceae_Lactobacillus,0.465356774,0,0,0,0,0.050994391,0.896151819,0,0.105708245,0,3.24742268,8.26109128,0.201409869,0,0,0.052356021,0.107009096,0,0,0,0.052714813,0,3.93258427,6.961382114,0.569358178,0,1.045478306,0,0,0,0,0,0,0,4.234693878,5.255102041
Firmicutes_Lactobacillales_unclassified_Lactobacillales_unclassified,0,0,0,0,0,0,0,0,0,0,0.051546392,0.203977562,0,0,0,0,0,0,0,0,0,0,0,0.203252033,0,0,0,0,0,0,0,0,0,0,0,0.102040816
Firmicutes_Peptostreptococcaceae_Clostridium_XI,0.103412616,0,0,0,0.358422939,0.509943906,1.792303637,0.257731959,0.21141649,0,0,0,0,0,0,0,0.107009096,1.061571125,0,0.316122234,0.36900369,0.26371308,0.102145046,0.050813008,0.103519669,0,0.261369577,0,0,0.463678516,0.154162384,0.364583333,0.315291645,0.371549894,0.255102041,0
Firmicutes_Peptostreptococcaceae_Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Ruminococcaceae_Anaerotruncus,0.103412616,0,0,0.102880658,0,0,0,0,0,0.158061117,0.154639175,0,0,0,0.104220948,0.523560209,0,0,0,0,0,0,0,0,0,0,0,0.152983172,0,0,0,0,0,0.106157113,0.102040816,0
Firmicutes_Ruminococcaceae_Clostridium_IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053504548,0.053078556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes_Ruminococcaceae_Faecalibacterium,0.361944157,6.954689146,0.560652396,14.6090535,3.584229391,1.325854156,3.900896152,4.020618557,11.89217759,7.481559536,8.092783505,4.589495156,0,13.44969199,0.052110474,4.188481675,5.617977528,12.7388535,0.762970498,2.476290832,11.91354771,6.223628692,4.545454545,3.455284553,0.051759834,13.50931677,1.150026137,10.04589495,5.408216329,5.048943843,2.10688592,3.072916667,23.54177614,7.537154989,5.816326531,6.479591837
Firmicutes_Ruminococcaceae_Flavonifractor,0.361944157,0.052687039,0,0.308641975,0,0,0.052714813,0.051546392,0.21141649,0.948366702,0.618556701,0.152983172,0,0.410677618,0.729546639,0.994764398,0.214018192,0,0.356052899,0.105374078,0.105429626,0.843881857,0.408580184,0.152439024,0,1.397515528,1.150026137,0.509943906,0.20800832,0,1.798561151,0,0.315291645,0.743099788,0.612244898,0.102040816
Firmicutes_Ruminococcaceae_Oscillibacter,2.326783868,0.210748156,0,0.771604938,0,0.203977562,0.052714813,1.18556701,0.21141649,1.844046365,0,0.050994391,0.100704935,1.12936345,0.521104742,1.413612565,1.01658641,0.212314225,0.2034588,1.633298209,0.210859251,1.265822785,0,0.050813008,2.587991718,2.380952381,2.143230528,0.764915859,0.31201248,0.412158681,1.952723535,1.5625,0.367840252,1.433121019,0,0.051020408
Firmicutes_Ruminococcaceae_Pseudoflavonifractor,0,0,0,0.257201646,0,0,0.052714813,0,0,0.105374078,0,0,0,0,0.052110474,0.890052356,0.053504548,0.159235669,0,0,0,0.052742616,0,0,0.051759834,0,0.261369577,0.152983172,0,0,0.051387461,0,0,0.106157113,0,0.051020408
Firmicutes_Ruminococcaceae_Ruminococcaceae_unclassified,0.723888314,1.58061117,0,3.600823045,1.996927803,0.305966344,0.421718503,1.597938144,1.268498943,3.477344573,3.969072165,0.050994391,0,3.696098563,4.116727462,4.45026178,9.149277689,0.796178344,0.864699898,1.633298209,1.159725883,4.483122363,1.940755873,0,0.879917184,4.451345756,0.627286984,2.651708312,12.2724909,0.618238022,1.798561151,2.083333333,4.308985812,4.033970276,2.397959184,0.051020408
Firmicutes_Ruminococcaceae_Ruminococcus,0,0,0,0,0.051203277,0.152983172,0.052714813,0,0,0,0,0,0,0,0.104220948,0,5.082932049,0,0,0,0.158144439,0,0.357507661,0.050813008,0,0,0.209095661,0,2.444097764,0.051519835,0,0,0.683131897,0.053078556,0.102040816,0.051020408
Firmicutes_Ruminococcaceae_Subdoligranulum,0,0,0,2.057613169,0,0,0,0,0.739957717,0,2.680412371,0,0,0,0,0.837696335,0,0,0,0.210748156,0.474433316,0,1.940755873,0,0,0,0,1.580826109,0,0,0,0,0.42038886,0,1.683673469,0
Firmicutes_Staphylococcaceae_Staphylococcus,0,0.210748156,3.160040775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104547831,0,0,0,0,0,0,0,0,0
Firmicutes_Streptococcaceae_Streptococcus,0,8.061116965,0.101936799,0,0,0,9.594095941,0,0.052854123,0,5.670103093,0,0,0.102669405,0,0,0.267522739,0.053078556,0.1525941,0,0,0,12.41062308,0,0,0.569358178,0.418191323,0,0.15600624,0,0.976361768,0,0.105097215,0,14.18367347,0
Firmicutes_Veillonellaceae_Dialister,0,0,0.254841998,0.823045267,0,0,0,0,0,0,0,0,0,0,0,0.418848168,0,0,0,0,0,0,0,0,0,0,0,0.101988781,0,0,0,0,0,0,0,0
Firmicutes_Veillonellaceae_Megamonas,0,0,0,2.62345679,14.90015361,0,0,0,0,7.376185458,0,0,0,0,0,4.397905759,4.922418406,0,0,0,0,8.966244726,0,0,0,0,0,3.620601734,7.540301612,0,0,0,0,10.93418259,0,0
Firmicutes_Veillonellaceae_Megasphaera,0,0,0,2.00617284,0,0,0,0,0,0,0,0,0,0,0,3.036649215,0,0,0,0,0,0,0,0,0,0,0,1.274859765,0,0,0,0,0,0,0,0
Firmicutes_Veillonellaceae_Veillonella,0,0,0,0,0,0.152983172,0.36900369,0,0.105708245,0,0,0,0,0,0,0,0,0.318471338,0,0,0,0,0,0,0,0,0,0,0,0.309119011,0.051387461,0,0,0,0,0
