Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Salmonella enterica,14534,479537,258636,398593,53351,69278,61367,7358,20076,43554,12210,0,4825,330689,358756,4023,1579,6439,995,161348,70265,13377,8018,5874,17800,12556,18957,15824,24214,212230,4578,63602,163,10573,360664,219166,18921,21653,318492
Enterococcus faecalis,7331,383526,189735,527726,28118,60577,40524,13304,28360,60571,12418,2,17037,303979,359004,3443,3056,7908,1344,208545,169226,14059,4250,7665,12033,16774,3979,3303,1439,332234,3722,121509,842,13521,52676,170478,20848,24999,308404
Collinsella aerofaciens,1535,138006,77458,96248,17459,55455,20604,41279,12969,8650,185345,0,260339,139081,215278,410714,445645,167693,220615,82687,13611,89679,1776,127191,5379,4695,5052,4737,795,21585,139828,73237,36,5104,3171,28853,11325,15162,112793
[Ruminococcus] gnavus,252719,8281,6831,1909,318404,525718,358750,863564,3869,2864,68559,9,55727,15733,6935,42013,30299,6836,7423,2658,2319,4888,103765,6117,73924,94020,45360,35503,20526,10274,9526,8120,28,110374,5899,11002,11445,8349,23801
Klebsiella pneumoniae,6407,201144,42171,52589,44291,46978,63018,7593,36321,70259,16173,0,3140,501503,574470,3819,2214,27635,2008,512287,97889,15894,5681,16072,18927,11787,13166,11318,16941,160219,4282,83885,368,8334,28518,165611,2675,4169,94005
Escherichia coli,95536,20606,15054,18632,4502,5910,6054,2550,234334,318519,4468,3,2861,25541,23393,4501,4434,61182,59496,13723,7987,53169,2602,49944,115812,144181,295333,244341,446122,232026,1357,7913,1081,4357,9451,14408,1038,3129,28978
Bacteroides vulgatus,14192,41602,58516,38525,54399,32024,89469,56758,9878,9637,164439,0,138112,51183,56179,169746,108053,69491,84672,32891,6555,40906,12517,33439,159562,184294,133919,97221,71727,44343,98142,39439,22,9315,10145,16833,28156,13598,76988
Parabacteroides distasonis,92483,2833,3153,883,196209,84834,256221,124028,89798,56040,113726,1,74322,36097,64405,151038,139016,20950,26640,970,982,17630,98294,22229,23652,24495,40990,23086,32658,19342,12933,7279,16,67383,198153,130222,2297,1749,10509
Bacteroides dorei,354214,4040,111223,6749,22630,32096,29598,51378,21080,11219,132224,9,122137,11700,25114,101081,62429,6047,5842,1954,1228,4086,243211,3288,5052,5826,4861,3617,2469,2100,33499,8983,17,174160,290805,206722,77453,30360,25575
Gemmiger formicilis,6076,3414,453702,18629,3065,18129,4751,14316,1340,1379,136653,0,140682,5501,17028,63259,43645,57248,62604,707,1103,31026,9215,43062,9027,10940,10360,8984,6307,6391,525770,156445,265,11403,344,442,25714,52702,13862
Paracoccus yeei,294,10007,4183,68177,1284,3666,2291,452,2470,1967,655,0,721,9250,60955,326,194,491,150,1633845,4499,463,1026,421,13633,1022,578,743,723,4206,1521,4642,21,654,2481,56688,496,1342,41465
Prevotella copri,28,426,676,568,388,561,525,138,384,385,1982,0,112,935,749,135,77,922386,879440,1312,1002,54965,77,58958,332,556,656,387,78,289,143,1262,12,129,296,308,176,967,553
Bacteroides faecis,1605,104550,74913,86217,10999,7599,20452,3448,6897,9558,7091,0,2748,78997,103259,5146,4525,4954,1932,85193,15300,3227,967,3863,233685,247718,180763,84045,32131,65961,2672,24580,23,1582,2732,24397,3845,6923,206531
Blautia hydrogenotrophica,469397,1381,1600,1025,4671,8657,5256,12164,730,810,1648,24,1829,1999,1430,2084,2582,829,478,944,1284,537,362593,501,545,984,478,537,364,439,2084,1631,263,815125,1439,24262,2341,2848,2081
Bacteroides massiliensis,71160,9604,3764,1538,164207,99159,146121,116342,646,767,1436,4,804,5048,1862,1167,940,5040,4704,1665,1178,1684,58298,1510,194599,236373,163086,112413,62236,33883,89245,34296,15,39164,4702,7364,665,1233,4993
Parabacteroides merdae,7229,1134,603,473,99412,84012,134225,98316,158554,140989,64474,0,52814,25062,64547,108432,114442,89558,131487,745,1136,76460,11906,67791,2240,2425,1904,1426,977,845,40390,12520,16,7999,1880,1910,374,973,1829
Bifidobacterium angulatum,109,178,1827,448,758732,197460,308071,112615,377,396,1476,0,1079,1380,995,3174,1798,320,121,640,1132,217,250,151,200,354,89,114,36,114,230,917,12,299,276,190,101,872,459
[Eubacterium] rectale,664,1057,4360,1799,1517,2340,1534,1759,924,867,35680,0,17003,5361,3964,41544,29798,44508,62532,980,822,29092,803,35988,2106,2832,3896,2243,3116,2107,802851,201749,11,983,425,891,14359,8639,1794
Staphylococcus aureus,5764,180152,80980,139842,9339,10424,9205,1921,9773,16398,3834,0,1871,213782,95052,505,698,3921,1614,76286,34363,4272,3712,1774,19713,3267,1540,959,362,136105,2246,19449,439,3512,19368,34505,4680,13399,198750
Bacteroides fragilis,4192,12835,9475,11841,8345,4770,11304,5198,3209,2851,3193,0,1987,12051,13609,2474,1739,5944,6526,17938,2335,13399,6237,11544,121796,105315,147065,149398,178962,97814,15467,12801,195,6863,1567,7997,2111,1984,11740
Bifidobacterium bifidum,1375,922,480,99,11876,97851,5594,30798,179,333,211675,0,290544,26755,45018,106904,166668,97,47,320,350,52,5013,63,470,433,265,215,50,256,4879,1570,6,4875,131,356,47,266,2008
Flavonifractor plautii,19511,12120,42359,9503,32513,12419,24076,14477,54443,16918,22878,1,29226,15557,16821,35955,35337,6194,8334,8950,2510,10861,17641,11113,23120,25673,37589,36331,129999,155359,38322,13178,73,15782,682,2267,11635,7323,23320
Bacteroides thetaiotaomicron,1155,2268,16319,1569,178374,93314,352762,71612,1222,1094,39561,0,18024,3951,2264,20432,9147,9920,9236,1865,853,10909,1359,10708,8073,8567,6769,3660,1791,1635,13948,5460,232,1044,2155,2177,17543,14034,3379
Bacteroides uniformis,2645,5715,21009,5348,11727,9500,16958,18659,1617,2033,63627,0,52359,9205,17517,142962,132834,13267,20947,1781,1599,38861,6286,33360,14711,15060,27844,19822,9228,5738,120058,41481,3,3855,1416,1693,22643,12558,10805
Dorea longicatena,1317,2571,15822,6330,4166,6342,4605,8570,1823,2099,2224,0,2554,3013,2515,2153,2304,70507,142748,3001,871,89148,1072,108316,5000,5120,8304,4681,2572,5447,3388,6979,228,1352,932,7507,264597,105128,3344
Blautia luti,583,794,22458,3356,33703,17359,35186,24673,707,749,56055,0,69968,14809,18349,61165,57438,46044,67018,591,333,24588,811,29773,1339,1576,1757,1406,1068,1075,57832,16374,7,956,213,1024,150698,63091,13983
Eggerthella lenta,15300,4484,19380,1827,46618,174356,56788,345841,3211,4307,4299,1,8130,4265,3961,11152,13109,1011,1596,2407,910,1606,9971,2125,964,1172,1073,1302,2226,1784,3719,1959,6,13370,379,816,33786,22645,7369
Alistipes onderdonkii,53167,3692,3717,2772,3219,1574,3548,2424,451,518,1215,1,954,1987,3137,941,1024,719,888,2554,1118,3013,78669,3706,27922,35648,47159,42553,81085,37674,163173,60845,11,55388,1539,6894,1307,1383,4688
Barnesiella intestinihominis,7075,2239,2331,1189,13273,10836,14987,10125,445,989,13772,0,7551,2283,2699,37922,36870,475,416,1203,820,2595,4213,3235,71283,81601,104623,112936,47753,32097,28531,12087,6,4600,475,802,144,577,3089
Ruminococcus bromii,109,250,1237,298,4285,4488,3803,3835,5389,6991,947,0,1143,674,551,490,633,2535,2853,406,507,19647,443,18669,859,1894,1557,1831,187,520,432882,152738,7,626,169,248,1193,850,454
Blautia wexlerae,387,494,27164,3781,37025,6678,36281,5995,442,455,21369,0,26953,18297,6786,18748,16354,20932,24281,352,253,7987,449,8122,854,1101,829,806,1435,593,24197,6300,2,504,124,290,205937,84819,19497
Bifidobacterium catenulatum,2309,157,92,97,3050,1595,1391,968,123,144,92933,0,43679,37261,34533,283307,87761,755,602,581,547,200,6262,315,740,263,40,41,15,51,2278,843,3,5858,131,564,42,286,7436
Bilophila wadsworthia,2627,2006,6432,1718,7421,13323,13600,50037,4277,3553,8802,0,13723,7435,12110,55297,67841,3695,3965,475,624,2740,2969,3138,57442,35596,24979,22470,1116,888,16191,4222,6,3497,569,1355,103127,48779,1842
Lactobacillus iners,249,8601,5401,4797,11734,5498,9951,1302,51854,23223,9063,0,10431,36735,46605,5271,1314,11254,11921,14330,2156,32488,586,35603,35991,30200,12785,3582,8043,19521,589,10451,9,963,59227,45334,1842,1095,34260
Holdemanella biformis,105,454,19802,2258,2190,8423,1097,4996,351,315,353,0,197,484,863,124,107,19341,108775,383,220,28702,221,96601,161,444,258,349,191,233,227,374,144,196,134,371,135220,129171,2122
Bacteroides caccae,28965,740,1178,492,4147,2952,5629,3025,3724,2998,157747,0,86498,9327,17461,91364,41835,1369,1682,636,488,2511,24478,2399,4592,4895,3950,2477,1442,1104,12991,3988,5,16233,5113,9401,1121,852,1183
Methanobrevibacter smithii,70083,152,177,176,14102,70944,13322,139951,252,165,107,5,31,243,159,12,21,64,21,145,1003,122,71467,40,7639,14918,14147,11601,9298,4484,22,275,3,61947,1066,19314,39,266,945
Anaerostipes hadrus,1551,374,5813,467,1825,5403,1847,7197,227,214,16796,0,48465,12054,5051,15690,42540,15638,69587,696,378,6498,1216,10476,470,1590,407,558,946,459,27921,5659,416,1333,233,374,137543,37854,3512
Dorea formicigenerans,1349,1648,30146,3234,2399,3005,3055,4921,1680,1964,42964,0,35107,2026,4962,36769,43134,12750,30363,1671,691,14806,1326,38687,1579,1285,1669,1019,2647,4307,26642,13167,9,1577,1044,6697,49829,26276,5351
Alistipes putredinis,22314,3005,539,427,763,1376,1191,473,1713,1527,5193,2,4731,2056,4211,4760,5676,667,913,1063,408,2122,24049,2331,28718,33359,79109,42978,88931,62262,285,800,6,18390,2675,3010,129,378,1870
Stenotrophomonas maltophilia,6804,16689,13976,14057,19041,9974,24023,16995,16107,3908,7352,0,5109,14286,41526,10158,4783,5406,6041,13994,6857,15241,21701,9429,7630,6076,6826,3721,4641,7266,4919,4496,265,15474,26407,35647,844,721,17834
Odoribacter splanchnicus,21713,23595,19091,19041,3247,1976,5107,1115,2264,2974,15288,0,13989,17320,28936,19538,17018,2227,2056,23125,3165,5289,14438,5258,11812,12348,15764,13893,14327,12273,8772,7796,12,10363,1003,5223,1009,1596,26793
Proteus mirabilis,550,559,370,430,7248,6705,10751,1251,5623,9144,2609,0,434,79459,92369,632,318,4468,312,86443,15155,2291,842,2602,1747,2703,819,1383,243,17229,619,11913,52,1341,2367,24441,31,95,635
Parabacteroides goldsteinii,67,518,175,73,76159,38558,151828,40361,49137,15591,319,0,245,226,213,455,448,877,883,97,189,547,88,475,666,711,715,494,283,202,189,136,6,75,70,88,88,108,86
Bacteroides plebeius,77,1422,1069,1096,2428,1535,2702,1938,425,276,83503,0,90181,10934,22830,64403,73708,1428,1163,408,330,714,97,670,1022,1110,1701,1148,245,241,106,303,233,82,298,225,96,208,2529
Bifidobacterium pseudocatenulatum,4029,260,333,200,4447,3410,2851,2093,535,628,31689,0,16067,23965,15605,81654,39748,1943,2072,6146,3554,552,10387,754,401,403,188,243,34,1206,44132,11559,5,8446,268,1919,63,193,2449
Streptococcus pneumoniae,305,21470,19104,74913,1145,2750,5947,1816,1750,2669,1379,0,652,13518,16972,499,468,578,163,22281,13816,473,316,363,2002,2088,274,152,129,49961,120,5231,73,1035,2555,7261,4692,4944,40265
Brevundimonas naejangsanensis,44,3502,1262,279288,416,507,486,243,541,600,176,0,96,6981,3266,106,77,93,88,5933,2389,194,108,132,272,218,118,127,54,3639,114,836,1,132,1763,3838,120,240,4039
Streptococcus salivarius,790,322,7795,1543,1237,2585,1546,499,883,1199,2710,0,2578,9462,16783,5279,5505,1434,1731,10483,2236,2092,164,4118,919,674,1971,731,30,1889,9839,5427,345,206,388,2500,88090,124887,1045
Coprococcus catus,111,47,61158,1498,484,1005,509,1460,42,44,14270,0,12017,639,810,36006,26565,7882,8994,38,67,15042,173,18335,1092,760,22409,15579,9470,8868,1612,463,2,214,50,49,23527,11367,10273
Acidaminococcus intestini,27,71,77,64,93,161,126,136,86,81,119760,0,139346,4220,20410,8674,12021,474,411,111,234,214,63,804,121,179,91,112,50,76,237,276,3,81,75,38,159,310,144
Bacteroides stercoris,384,9157,12038,7535,2933,2510,4432,2623,3447,2577,20066,0,11852,28747,10210,12258,7382,4308,4640,37318,3536,2894,342,3071,2104,2268,1915,1382,802,20124,12827,5935,10,387,523,3725,30053,19349,10700
Eubacterium ramulus,429,131,891,192,517,1201,683,767,129,166,912,0,1075,316,354,733,753,43050,46034,179,168,23648,377,26771,247,377,307,307,811,640,112627,26111,165,398,128,357,2890,1508,475
Brevundimonas bacteroides,33,2834,940,261172,272,396,380,128,369,482,115,0,44,6040,2467,62,43,72,38,3166,1664,143,80,99,192,164,108,104,74,2514,110,686,0,84,1244,2881,96,217,3473
Gardnerella vaginalis,140,1885,877,1308,6176,20548,2587,6862,344,555,49166,0,67380,7556,12203,24605,38796,216,123,2852,996,316,646,258,501,599,319,261,276,633,1628,789,7,811,440,1015,109,181,2193
Coprococcus comes,935,152,10227,1372,1263,3040,1914,3360,90,140,2328,0,3075,469,773,2266,2593,19422,43045,206,124,29012,1071,51732,1169,1594,1658,1149,4705,1928,4751,1593,3,1284,192,759,36628,16201,1748
Streptococcus vestibularis,645,151,2617,1710,298,2256,198,550,95,102,1327,0,1892,502,5717,4049,4129,193,249,250,216,1137,31,2313,752,498,1390,509,6,135,4276,1252,0,40,143,94,87722,125489,748
Bacteroides cellulosilyticus,299,2503,2834,2236,4031,2516,5524,2605,1659,981,2779,0,2195,1612,1794,3145,2588,5743,5699,915,399,4320,418,4478,3898,4143,16486,7962,1412,931,107110,39272,3,397,489,759,1119,686,2443
Micrococcus luteus,306,13892,7253,15797,2375,1065,2406,428,4073,3154,586,0,806,14445,16116,250,215,477,373,63003,8207,538,347,798,2449,1476,841,1209,201,7919,711,2076,15,433,5202,10479,1324,2422,46172
Bacteroides eggerthii,20,152,106,144,844,682,927,618,150,107,3560,0,3116,671,934,4649,3775,630,624,115,265,448,50,438,1903,1851,1912,1823,356,222,157471,48873,274,48,70,42,60,157,210
Acinetobacter baumannii,186,17487,5169,1111,225,15762,7516,38,433,2309,570,0,122,2218,55660,292,106,232,266,7369,534,126,191,908,634,135,102,188,160,524,106,4610,232,59,286,100975,7571,144,2488
Pseudoflavonifractor capillosus,1718,1177,6180,1092,4086,5784,3134,8142,1906,1214,9532,0,18698,2900,6160,18219,26056,896,1548,985,534,5576,5579,5657,12463,12265,10095,9462,6065,6104,12915,4499,2,6777,153,631,11060,5760,1868
Bacteroides salyersiae,310,27189,21860,21962,2124,1346,3522,489,1872,2481,1351,0,462,20274,28418,771,596,1039,365,20555,3966,783,238,975,1125,962,750,514,278,7139,10983,7311,5,488,723,6267,788,1843,33873
Intestinimonas butyriciproducens,696,1568,10198,172,1277,675,1380,775,184,110,4291,0,6544,459,1163,9753,10340,357,539,239,268,4816,2090,5131,29455,38280,32450,38045,3017,2843,4939,1808,2,2733,48,116,896,690,220
Roseburia intestinalis,943,2021,5168,3074,3530,3653,3748,4405,2502,2423,3544,1,4160,1682,2799,2737,2761,6766,9477,1989,663,5767,875,6692,2934,2831,2503,1900,6824,7357,11577,11469,11,1407,1303,9035,53585,19569,3357
Bacteroides xylanisolvens,518,4159,35152,6182,3664,1874,5574,2019,1117,858,9885,0,4625,4938,5463,4945,3110,2729,3240,4541,609,2867,943,2463,2545,2590,2502,1614,1406,1877,5802,3031,33,784,497,1571,49182,23975,6366
Enterobacter cloacae,169,7036,3703,7868,860,712,972,301,2391,2837,334,1,217,5515,4851,274,201,643,482,3737,1718,688,245,600,10396,12986,30475,26501,47820,21754,371,1113,263,277,706,2486,262,313,6216
Streptococcus mitis,88,3649,2845,5877,888,473,816,288,1768,1546,312,0,531,5555,4847,208,636,886,1608,3260,1096,1098,64,1356,1379,2626,1473,965,61,3958,1214,1200,790,93,696,2009,89109,54158,3719
Blautia producta,34483,234,722,274,713,840,725,1455,130,97,1322,0,1869,501,770,1618,1890,3236,1138,137,177,961,33588,869,498,686,551,603,1141,771,2630,604,259,58010,1686,27262,2740,1381,588
Kocuria rhizophila,425,6872,3444,4045,767,557,1799,208,6502,4772,516,0,103,16233,5438,2847,92,642,49,11315,5132,317,168,663,1526,821,381,238,221,3002,246,1422,19,513,2339,6968,305,1195,89387
Desulfovibrio fairfieldensis,35077,2986,2123,2412,185,237,253,180,427,215,177,0,161,575,900,101,98,132,120,450,440,348,62589,319,1098,1085,1018,754,910,831,170,247,0,48092,1644,8468,116,206,2900
Butyricimonas virosa,44,516,437,79,13503,4944,12518,7697,2947,2097,13311,0,9491,724,2122,13682,9714,1191,900,106,197,1806,63,1518,6538,7610,8910,6946,21350,7979,5026,2129,0,65,21,34,56,66,1374
Lactobacillus rhamnosus,37058,36,47,102,51,58,51,20,41,36,132,1,253,114,89,668,774,49,91,408,170,62,51424,70,25,38,12,18,3,16,39,98,206,61115,275,5077,211,611,212
Erysipelatoclostridium ramosum,719,3757,3543,3196,807,736,900,877,828,656,25689,0,31081,5062,5465,16741,11706,757,1055,2099,574,748,705,850,721,796,283,280,1112,937,840,828,1,917,2040,6409,10262,6686,6846
Klebsiella aerogenes,65,1866,1405,1137,3220,1413,2795,352,13779,6249,2280,0,2538,10377,11937,1330,358,2695,2807,3653,499,7876,142,8876,9815,8369,3672,979,2290,5380,143,2350,0,251,15361,11139,492,327,8817
Ruminococcus bicirculans,125,162,402,140,262,230,231,275,89,74,540,0,728,216,205,294,364,258,533,134,143,4105,576,2826,766,1105,1210,1082,337,341,94041,39867,2,673,44,59,375,333,178
Bacteroides acidifaciens,387,567,1452,330,977,579,1561,676,626,336,12460,0,10130,1702,3196,26191,24112,2236,2300,298,186,2073,629,1771,12308,12193,10237,5195,3059,2029,4849,1853,207,486,325,407,1657,782,838
Anaerotruncus colihominis,9328,331,1659,452,6969,4271,9069,6318,435,217,6639,0,9478,434,1807,7573,8216,537,862,360,186,3537,10936,3304,3793,5111,3720,3390,2701,2177,7369,2922,1,14296,305,844,5545,2538,611
Moraxella osloensis,258,2803,3434,11141,1291,346,886,66,15679,6196,194,0,294,7633,4594,49,30,88,153,32774,3949,250,50,913,409,227,231,534,20,2026,95,957,3,71,3282,30855,239,263,13553
Streptococcus parasanguinis,45,696,3716,4141,174,270,132,72,114,126,114,0,188,6105,1151,355,369,393,940,430,282,165,77,862,443,1620,1088,863,50,166,1509,746,63,94,46,204,68623,46302,1657
Alistipes finegoldii,6305,10986,8013,8698,3337,2597,5319,3497,659,1210,763,0,528,9068,14473,420,481,743,470,8996,1615,1970,8259,1922,2060,2420,3274,2646,2254,5927,564,1936,2,6073,558,3021,356,773,9592
Atopobium vaginae,52,1752,1302,1236,2942,1706,2274,790,12986,6295,2110,0,2454,7159,8282,1282,456,2621,2737,2564,434,6806,137,8158,8832,7089,2879,982,2463,5000,140,3108,5,210,12371,9778,537,243,7395
Blautia faecis,135,134,23237,1599,1514,2246,1715,3914,43,24,5564,0,8586,1241,2780,3264,3734,1549,1634,104,97,1619,214,2187,261,592,328,546,5477,1861,9459,835,0,175,50,98,31079,15845,1396
Alistipes shahii,2210,10785,8839,7787,1006,1024,1949,635,1682,1545,1660,0,1921,8930,13486,1230,1583,664,511,9749,2324,2275,4009,2472,2486,2868,4292,3423,2776,4109,1008,2151,2,3035,753,3425,1444,1408,12656
Aptenodytes forsteri,142,2924,3973,17190,680,237,619,34,5897,2609,146,0,348,6783,2933,41,25,106,105,14083,4527,194,57,385,436,164,163,281,10,1484,97,999,7,56,2232,41693,122,194,14934
Catenibacterium mitsuokai,172,1449,1391,1417,1949,1896,2892,577,1565,2455,997,0,338,21378,25596,410,318,1713,1031,22923,4149,1175,318,1887,505,493,167,152,46,5030,279,3331,209,432,943,7378,1909,355,1572
Bifidobacterium breve,8717,166,147,169,1696,7944,1096,4124,151,51,5598,0,5386,10582,892,15668,6831,1397,2012,325,1018,352,22016,513,111,103,77,80,22,74,970,321,0,17068,164,794,88,121,657
Faecalitalea cylindroides,285,568,629,462,8086,37168,4787,45724,452,113,523,0,669,753,659,528,507,178,423,560,195,217,322,379,526,1167,766,736,229,526,219,336,1,336,88,395,828,427,976
Gordonibacter pamelaeae,573,1847,3296,1361,1566,9046,1858,13549,3284,1431,3059,0,6690,1630,2432,8801,11434,2442,3213,1000,499,3143,649,4507,904,1129,828,774,495,682,5712,2130,3,821,93,416,2766,2364,3407
Lactobacillus crispatus,128,2146,1230,1377,2161,1270,1764,241,8933,4369,1670,0,1863,6150,8382,949,549,1681,1870,2288,413,5556,255,5961,6315,5327,2431,625,1496,3373,103,1667,2,267,11303,8383,277,184,6113
Acinetobacter lwoffii,135,7135,3808,3746,1953,692,861,91,2462,1807,273,0,121,9491,6357,120,57,337,104,13728,2333,337,71,405,1021,1212,135,147,94,2061,467,2634,7,108,4673,9798,326,472,19922
Lachnospira pectinoschiza,10,132,639,2086,119,224,168,308,50,62,167,0,217,147,167,178,165,359,286,77,78,334,37,359,217,417,497,425,413,155,49436,11140,0,44,34,48,17805,10636,231
Pseudomonas putida,1126,1941,1654,2441,6327,3037,10019,3580,3888,1710,2712,0,1299,2515,2802,2879,1329,1306,1278,1703,1130,4291,4978,2720,1702,1392,2876,861,1452,1638,1659,711,329,3091,6778,5227,435,303,2674
Paenibacillus lautus,5,389,69,321,15,25,14,23,25,21,48,0,54,96,1598,44,123,69,39,927,839,32,13,57,131,122,157,125,125,96,66,45,90865,30,5,12,40,177,416
Pseudomonas aeruginosa,835,2886,2196,3432,5146,2400,7774,2899,3226,3057,2140,0,1010,4093,3690,2190,1040,1101,1048,2928,2954,3367,3862,2134,1653,1447,2576,842,1269,2622,1453,823,6,2530,5489,6105,411,389,4125
Shigella sonnei,100,1602,491,773,163,206,172,54,18492,21473,62,0,31,553,831,19,26,2463,2487,363,206,2433,25,2421,2823,3192,7506,6860,12383,5614,35,383,6,40,234,599,41,105,824
Streptococcus agalactiae,58,1148,969,802,1698,842,1650,230,7821,3193,1460,0,1634,5629,6514,886,261,1570,1810,2040,561,4632,72,5044,5207,4490,2029,490,1330,2888,123,1789,227,141,9566,6643,766,963,5549
Achromobacter xylosoxidans,1657,1709,2718,3012,4407,2327,5559,3029,3168,1032,1595,0,878,3648,5021,1862,923,1455,996,1983,3148,2708,4370,2031,1279,1185,1764,753,1003,1360,1246,1071,8,3132,5919,4218,2054,1113,3211
Faecalicoccus pleomorphus,27385,427,325,311,329,1188,366,1482,70,73,261,1,490,356,526,538,760,110,156,316,105,236,21531,236,390,909,313,403,194,223,170,222,242,21261,362,2864,291,164,610
Staphylococcus epidermidis,368,3830,2229,4825,1930,364,837,82,7228,2407,344,0,161,3606,5252,78,69,241,54,11737,1036,196,410,638,577,2817,101,128,62,1528,453,1424,1290,1223,452,2545,3377,10173,11466
Bacteroides ovatus,421,1898,3193,2398,1402,798,1972,927,340,323,5387,0,2418,2585,2027,3037,2062,4717,5069,1947,295,1039,792,1164,2261,2408,2229,1188,1724,1836,6694,2401,3,518,467,856,9260,4225,3143
Eisenbergiella tayi,947,102,7836,195,2740,1311,3094,1603,254,58,1455,0,1945,246,538,1806,2269,1057,1330,1951,93,1231,1241,957,2339,10257,5485,10187,4459,2453,5258,2441,2912,1442,202,661,1627,636,252
